serial_number|time_created|manufacturer|garmin_product|number|unknown_6|type|message_type|timestamp_processed|unknown_2|stress_level_time|stress_level_value|unknown_3|unknown_4|unknown_0|unknown_1|timestamp|data|data16|event|event_type|version|software_version|unknown_253|enabled|local_timestamp|cycles_to_distance|cycles_to_calories|unknown_7|resting_metabolic_rate|activity_type|unknown_8|unknown_37|unknown_38|intensity|current_activity_type_intensity
3414950965.0|2023-02-13 18:56:00|garmin|3076.0|1.0||monitoring_b|file_id|2025-06-01T10:29:05.871947|||||||||||||||||||||||||||
|||||||unknown_233|2025-06-01T10:29:05.872906|(0, 144, 9, 185)||||||||||||||||||||||||||
|||||||stress_level|2025-06-01T10:29:05.872925|101|2023-02-13 18:57:00|-1.0||126.0||||||||||||||||||||||
|||||||unknown_355|2025-06-01T10:29:05.872938|200|||||0.0|0.0||||||||||||||||||||
|||||||event|2025-06-01T10:29:05.872957||||||||2023-02-13 18:56:56|200.0|200.0|78.0|marker|||||||||||||||
|||||||software|2025-06-01T10:29:05.872968|||||||||||||6.0||||||||||||||
|||||||unknown_24|2025-06-01T10:29:05.872985|(248, 59, 77, 62, 0, 2, 0, 24, 180, 0, 0, 48, 104, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)||||||||||||||||||||||||||
|||||||unknown_24|2025-06-01T10:29:05.872988|(248, 59, 77, 62, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)||||||||||||||||||||||||||
|||||||unknown_24|2025-06-01T10:29:05.872992|(248, 59, 77, 62, 0, 2, 0, 24, 180, 0, 0, 48, 104, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)||||||||||||||||||||||||||
|||||||unknown_24|2025-06-01T10:29:05.872994|(248, 59, 77, 62, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)||||||||||||||||||||||||||
|||||||unknown_24|2025-06-01T10:29:05.873000|(252, 59, 77, 62, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)||||||||||||||||||||||||||
|||||||unknown_24|2025-06-01T10:29:05.873002|(252, 59, 77, 62, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)||||||||||||||||||||||||||
3414950965.0||garmin|3076.0||||device_info|2025-06-01T10:29:05.873009||||||||2023-02-13 18:56:00||||||8.6|||||||||||||
|||||||ohr_settings|2025-06-01T10:29:05.873028|||||||||||||||1045248960.0|on|||||||||||
|||||||ohr_settings|2025-06-01T10:29:05.873034|||||||||||||||1045249020.0|on|||||||||||
|||||||monitoring_info|2025-06-01T10:29:05.873046||||||||2023-02-13 18:56:00|||||||||2023-02-13 19:56:00|(1.6562, 2.4842)|(0.0554, 0.175)|(10000, 10000)|2213.0|(6, 1)|||||
|||||||monitoring|2025-06-01T10:29:05.873063||||||||2023-02-13 18:56:00||||||||||||||||0.0|0.0||
|||||||monitoring|2025-06-01T10:29:05.873068||||||||2023-02-13 18:56:00||||||||||||||sedentary||||0.0|(8,)
|||||||monitoring|2025-06-01T10:29:05.873075||||||||2023-02-13 18:57:00||||||||||||||sedentary||||1.0|(40,)
|||||||monitoring|2025-06-01T10:29:05.873079||||||||2023-02-13 18:57:00||||||||||||||||0.0|0.0||
|||||||unknown_297|2025-06-01T10:29:05.873094||||||-200.0|||||||||1045249020.0||||||||||||
