Full Date|Notes about today
2023-12-28|Hell valley, onsen and ramen and beer in Sapporo !
2023-12-29|Lot’s of transportation from  Sapporo to Sendai, then walk in the city and a little bit of shopping
2023-12-30|Beautiful day in Yamadera and Sendai, then back to Tokyo for nice Ueno tonkatsu 
2023-12-31|First day of strolling in Tokyo, then NYE at Saori’s 
2024-01-01|Beautiful day in Tokyo, strolling in ueno, coffee, shibuya, pizza and arcade 
2024-01-02|Some more strolling in Tokyo, cats temple, shinjuku then laundry and lots of reading 
2024-01-03|Nikko day trip, then manga neighbourhood in Tokyo
2024-01-04|Leaving Tokyo, big stress with Shinkansen ticket, then first stroll in busy Kyoto 
2024-01-05|Beautiful day in Kyoto, early rise and lots of visits 
2024-01-06|Early rise in Kyoto again, amazing breakfast, long walk in the city, then train to Nara, great dinner and chill onsen !
2024-01-07|Osaka ! Then onsen night 
2024-01-08|Great day in Nara, walking around with deers and onsen in the night
2024-01-09|Transition day, travelling from Nara to Hakone
2024-01-10|Hakone day, then back to Tokyo
2024-01-11|Shopping day in Tokyo 
2024-01-12|Vintage shopping in Tokyo with B., then dinner and drinks with Hugo
2024-01-13|Plane back to Japan, then customs drama and stress, running across Taipei 
2024-01-14|Finally manga breakfast again, fetching last luggage, some Acerta work at Peter, then Thai dinner in Gongguan 
2024-01-15|E7 arcade, changing hotel, great dinner, big stress with backpack, then chill night at hotel
2024-01-16|Early rise for fancy breakfast, back for nap, run and bike on riverside, delicious lunch and snacks then long way back to hotel, laundry, then Vietnamese dinner and night market desert
2024-01-17|Trip to the south to see the ayi’s, veeery long trip but delicious food !
2024-01-18|Boring morning in the hotel, then great lunch, ximen, walk back to hotel, more boredom then dinner with Alice 
2024-01-19|Hot springs in beitou, preparing luggage, then dinner and drinks with Joe and Gina for last night in Taiwan
2024-01-20|Last day in Taiwan, bringing luggage’s to bing dian, then big feast, coffee shop, departure to airport and plane
2024-01-21|Looong flight home, fucking cdg airport miss, then great afternoon at B’s and at home with surprise friends and family
2024-01-22|First day back at home, productive work in the morning, then run and cleaning up several things. Dinner at La Tartine and driving back juju to bxl 
2024-01-23|Acerta meeting in Leuven, lunch with papa, afternoon with B and good dinner at home with Mercedes and Vincent
2024-01-24|Acerta work in the morning, communicating with Amazon, visiting big dad, then polarstep album finish
2024-01-25|Boring work, afternoon run, proxy shopping, then reading and Anderlecht defeat at Eric’s
2024-01-26|Chill work, boring fternoon then party with friends at cam’s, big Gigi news
2024-01-27|Breakfast at dad’s, lunch at home, board game afternoon at Lucas’ and birthday party at Alliandre before lln comeback
2024-01-28|Day in Lln at B’s, walk in the afternoon then dinner at Papa and drive back home
2024-01-29|Boring work, disgusting horror movie, interview call, sport and lots of reading 
2024-01-30|Boring work again, followed by sport, watching yi-ann drive, walking in the city and dinner with yi-ann’s family. Lots of thinking for flats visits
2024-01-31|Goodbye ahan, less boring work, finishing book, sport, driving car back to bxl, first villo ride, dinner with mamy and standard defeat while web dev 
2024-02-01|Boring return to full time schedule, some walk around the house, Chinese dinner then disappointing Anderlecht draw
2024-02-02|Boring work again, nice run in the evening, jiaozi dinner and Pearl horror movie night !
2024-02-03|Driving the girls to the airport, then stressful drive in Brussels, lunch with dad, musical quizzes afternoon with cam and friends then private bar party and long walk home
2024-02-04|Long walk back from cam party, debrief brunch with boots, groceries for raclette, workout and Anderlecht game !
2024-02-05|Nothing to do for work, visiting flat in saint gilles, cooking with bootsy then raclette night with kotechine 
2024-02-06|Early rise, nightmare train trip, first day at the office, visit in Schaerbeek then raclette leftover 
2024-02-07|Veeery boring work day, taking hannib to vet, then bootsy coming home for dinner and Tintin reading
2024-02-08|Using new LLM knowledge on lifelong during work, run in the rain, first friterie then french thriller movie
2024-02-09|"Another boring day ""working"" from home, then Chinese new year with bootsy and the englishmen and drinks with patro"
2024-02-10|A/R home for workout and bootsy driving lesson, then vds with qiulian, durum lunch and lake stroll, standard game, hot pot dinner with the Dickinsons, then drive to airport for maman and juju
2024-02-11|Long wait until departure to Brussels for coffee with groupe soiree, got speed flashed on the way back, and anderlecht game at home
2024-02-12|Very boring work day, then Abu dhabi news from Wim, and nice restaurant with mamy and yi-ann 
2024-02-13|Homeworking at Juju's, visiting two apartments, then early dinner at home and horror movie
2024-02-14|Lots of public transport to get to acerta in heyzel and at the office, then valentine's day at home with bootsy and lost in translation movie
2024-02-15|Driving yi-ann and maman to olln, working from home, genetics rdv at cspo, gen ai stuff, 10k run then resto with maman in ceroux
2024-02-16|Quiet day at work, acerta drama, then coline party in Brussels and drink with Lucas and Ralph
2024-02-17|Return from bx, then big run and bike to lln, bright Brussels and drink with friends in fernand cocq 
2024-02-18|Biking back from lln, lots of reading then family dinner and big announcement : little baby coming up soon in the family!
2024-02-19|Home working at Juju's, visit canceled by asshole, horror movie, announcement resto with papa then drive back home
2024-02-20|More acerta drama, run after work, then bootsy passing her license and celebration dinner in lln
2024-02-21|Veeery boring day at work, then business dinner with Martin Frank and Stefan. Not very fun 
2024-02-22|Long day at the office, karting team building then sleep at bootsy’s
2024-02-24|Brunch at Je Anne's, walk to decathlon, then lantern party at b's and delicious Taiwanese feast
2024-02-25|Breakfast at yi-ann's, topper at Eric's, then reading, more games and beautiful Fresh horror movie
2024-02-26|Read throughout the work day, workout and dinner at home with bootsy and maman before overcooked
2024-02-27|Home working with bootsy, overcooked, some work for mylene, dinner with Alice in lln an cringey kec cny
2024-02-28|Chill work day at home, nice 10k run, good homemade dinner and koh lanta + usg-fcb
2024-02-29|Boring afternoon at work, run in the rain and bad movie night
2024-03-01|Yet again a boring day at work, then evening at bootsy with a lot of overcooked and good food!
2024-03-02|Beautiful date weekend in gent with bootsy, walking in the city, VR experience, nice dinner and monasterium hotel!
2024-03-03|Return from gent, brunch for mc, overcooked then anderlecht game at home 
2024-03-04|Mylene SQL in the morning, but then veeery long afternoon, sport and night at papa's 
2024-03-05|Medical appointment in delta, working from dad's home, then drive back home and cheese dinner with Thierry and his sister 
2024-03-06|Abu dhabi news from Wim, SQL and Anatella training, then night at bootsy's 
2024-03-07|Early rise to work at the office, then dinner with Christine in city center and sleep in lln
2024-03-08|Chill work day, long run, koh lanta and reading + cleaning 
2024-03-09|Long walk in gastuche, preparing with boots then big Sarah birthday party
2024-03-10|Brunch with Yifan and Hadrien, afternoon at boots, then dinner at home with the whole fam for Mamy and yi-ann’s birthday 
2024-03-11|Another useless / shitty day at work, horror movie with juju and resto 
2024-03-12|Useless day at work, then bootsy’s birthday party in lln with the family
2024-03-13|No work as usual, then bootsy m’s last night in Belgium…
2024-03-14|Sad Bootsy's departure in the morning, but luckily good day afterwards: good meeting in leuven for acerta, finally some work in the afternoon at the office, then nice evening in Saint Gilles with Bastien
2024-03-15|Finally good busy day of working for acerta, first real project in Anatella, then watched koh lanta and reading in bed 
2024-03-16|Long run in the morning, getting furniture from lln, finishing « Island », cooking carbo and Anderlecht game
2024-03-17|Family day in Custinne, Dune 2 in LLN and late workout
2024-03-18|Stressful and busy day at work, lots of meetings for Mylene and acerta + urgent demands, trip to the bank for nothing, Hannibal peed on my bag, then overtime work while watching La tribune and late workout 
2024-03-19|Another busy day at work, quick run then more work in the evening 
2024-03-20|Work at the office, then groceries, good dinner at home and koh lanta
2024-03-21|Productive day at work but full of bugs to fix for maintenance dashboard script, followed by prom prom in neighborhood and lonely evening of web dev and cold war documentary 
2024-03-22|Other day working on maintenance dashboard, long walk and long read to finish into thin air
